,NeRF (l=1),NeRF (l=2),NeRF (l=3),NeRF (l=4),Biharmonic,FMM,NS,TV
Mean PSNR,23.422270713148738,24.043997544628773,24.48896264392705,24.16083179208623,23.965735439831864,23.771348833275887,23.689549155651804,23.993703761398734
Mean SSIM,0.8698891701089024,0.8761416909522384,0.8832416295078455,0.8826968273002642,0.8897345267950667,0.8881394431734781,0.8866743574260434,0.8702566461980157
