Method,PSNRs (1),SSIMs (1),PSNRs (2),SSIMs (2),PSNRs (3),SSIMs (3)
NeRF (l=2),21.42687592385176,0.8596551228990537,17.749995049148367,0.7951195272946321,19.895060329959414,0.7911907446306222
Biharmonic,24.262190519595727,0.8906574922641841,22.89620919082733,0.8794558448006432,21.51157953440312,0.8361692980038941
FMM,25.41843534796076,0.894904050451201,22.012898245885317,0.8730289349401327,23.35439648777733,0.8398571980096449
NS,25.464707882549156,0.8931855745306094,21.820275055402128,0.8698481057900326,23.30492070736402,0.8388177031663039
TV,25.463802873616327,0.881483416599719,22.182700167566125,0.8562733590502232,23.58882221863756,0.8299838082990635
